Channel Name,Lead Speaker,YouTube Handle,Location,Primary Orientation
901 Church,Stevie Flockhart,@901church,"Millington, TN",Modern Evangelical
Action Church,Justin Dailey,@actionchurch,"Orlando, FL",Modern Evangelical
ACTS Church Lakeway,Pete Mueller,@actschurchlakeway,"Lakeway, TX",Modern Evangelical
Alive Church,Ken Claytor,@alivechurchorlando,"Orlando, FL",Modern Evangelical
All Peoples Church,Robert Herber,@allpeopleschurch,"San Diego, CA",Modern Evangelical
Allison Park Church,Jeff Leake,@allisonparkchurch,"Allison Park, PA",Modern Evangelical
Ambassador Church,Ray Chang,@ambassadorchurch,"Anaheim, CA",Modern Evangelical
Anchor Church ABQ,Jared Bridge,@anchorchurchabq,"Albuquerque, NM",Modern Evangelical
Anchor Church Tacoma,Bryan Halferty,@anchortacoma,"Tacoma, WA",Modern Evangelical
Anchor Church Kaneohe,Robert McWilliams,@anchorkaneohe,"Kaneohe, HI",Modern Evangelical
Abundant Life,Phil Hopper,@livingproofonline,"Lees Summit, MO",Modern Evangelical
ACF Church,Brian Cook,@acfchurch,"Eagle River, AK",Modern Evangelical
Willow Creek,Dave Dummitt,@willowcreek,"S. Barrington, IL",Modern Evangelical
Community Christian,Dave Ferguson,@communitychristian,"Naperville, IL",Modern Evangelical
The Crossing,Dave Richards,@thecrossing,"Quincy, IL",Modern Evangelical
Parkview Christian,Tim Harlow,@parkviewchristian,"Orland Park, IL",Modern Evangelical
First Church,Josh Deeter,@firstchurchohio,"Lancaster, OH",Modern Evangelical
Mount Pleasant,Chris Philbeck,@mpccministry,"Greenwood, IN",Modern Evangelical
Real Life Community,Aaron Miller,@reallifecommunity,"Richmond, KY",Modern Evangelical
Canyon Ridge,Allen Slaughter,@canyonridge,"Las Vegas, NV",Modern Evangelical
Real Life Church,Rusty George,@reallifechurch,"Valencia, CA",Modern Evangelical
Journey Church,J.J. Vasquez,@journeychurch,"Fern Park, FL",Modern Evangelical
Nona Church,Collin Outerbridge,@nonachurch,"Orlando, FL",Modern Evangelical
Upstate Church,Wayne Bray,@upstatechurch,"Simpsonville, SC",Modern Evangelical
Pantano Christian,Trevor DeVage,@pantanocc,"Tucson, AZ",Modern Evangelical
Koinonia Fellowship,Ray Viola,@koinoniarochester,"Rochester, NY",Reformed / Traditional
Grace to You,John MacArthur,@gracetoyou,"Sun Valley, CA",Reformed / Traditional
Desiring God,John Piper,@desiringgod,"Minneapolis, MN",Reformed / Traditional
Parkside Church,Alistair Begg,@ParksideChurch,"Chagrin Falls, OH",Reformed / Traditional
Bethel Redding,Bill Johnson,@Bethel_Online,"Redding, CA",Charismatic / Revivalist
HungryGen,Vlad Savchuk,@vladhungrygen,"Pasco, WA",Charismatic / Revivalist
The Father's House,Brian Warth,@TFHNY,"Rochester, NY",Modern Evangelical
Summit Church,J.D. Greear,@j.d.greear,"Durham, NC",Southern Baptist
Browncroft Community,Rob Jackson,@browncroft,"Rochester, NY",Modern Evangelical
Turning Point,David Jeremiah,@drdavidjeremiah,"San Diego, CA",Baptist / Traditional
Ligonier Ministries,R.C. Sproul,@ligonier,"Sanford, FL",Reformed / Traditional
HeartCry Missionary,Paul Washer,@heartcrymissionary,"Radford, VA",Reformed / Traditional
The Village Church,Matt Chandler,@thevillagechurch,"Flower Mound, TX",Reformed / Traditional
Radical,David Platt,@FollowRadical,Washington D.C.,Reformed / Traditional
The Gospel Coalition,Multiple,@thegospelcoalition,Parachurch,Reformed / Traditional
BibleProject,Tim Mackie,@bibleproject,"Portland, OR",Academic / Neo-Reformed
Mike Winger,Mike Winger,@MikeWinger,Apologist,Modern Evangelical
Allen Parr (The BEAT),Allen Parr,@thebeatagp,Apologist,Modern Evangelical
Truth Unites,Gavin Ortlund,@TruthUnites,Apologist,Reformed / Traditional
Founders Ministries,Tom Ascol,@FoundersMinistries,"Cape Coral, FL",Reformed / Traditional
G3 Ministries,Josh Buice,@G3Ministries,"Douglasville, GA",Reformed / Traditional
Apologia Studios,Jeff Durbin,@apologiastudios,"Tempe, AZ",Reformed / Traditional
Canon Press,Doug Wilson,@CanonPress,"Moscow, ID",Reformed / Traditional
Wretched Network,Todd Friel,@WretchedNetwork,Parachurch,Reformed / Traditional
Living Waters,Ray Comfort,@LivingWaters,Parachurch,Reformed / Traditional
Capitol Hill Baptist,Mark Dever,@9marks,Washington D.C.,Reformed / Traditional
Passion City Church,Louie Giglio,@PassionCityChurch,"Atlanta, GA",Modern Evangelical
VOUS Church,Rich Wilkerson Jr.,@VOUSChurch,"Miami, FL",Charismatic / Revivalist
Upper Room Dallas,Michael Miller,@upperroom,"Dallas, TX",Charismatic / Revivalist
Jesus Image,Michael Koulianos,@jesusimage,"Orlando, FL",Charismatic / Revivalist
Koinonia Global,Joshua Selman,@KoinoniaGlobal,Nigeria,Charismatic / Revivalist
Global Vision Bible,Greg Locke,@lockemediaPH,"Mt. Juliet, TN",Charismatic / Revivalist
Isaiah Saldivar,Isaiah Saldivar,@IsaiahSaldivar,Revivalist,Charismatic / Revivalist
Calvary Chapel Lees.,Gary Hamrick,@cornerstonechpl,"Leesburg, VA",Calvary Chapel
Tenth Presbyterian,Multiple,@TenthPresbyterianChurch,"Philadelphia, PA",Reformed / Traditional
Coral Ridge,Rob Pacienza,@CoralRidge,"Ft. Lauderdale, FL",Reformed / Traditional
Redeemer Presbyterian,Multiple,@gospelinlife,"New York, NY",Reformed / Traditional
Southern Seminary,Multiple,@SouthernSeminary,"Louisville, KY",Reformed / Traditional
Dallas Seminary,Multiple,@DallasTheologicalSeminary,"Dallas, TX",Academic / Traditional
Westminster Seminary,Multiple,@WestminsterTheologicalSeminary,"Glenside, PA",Reformed / Traditional
Reformed Sem. (RTS),Multiple,@ReformedTheologicalSeminary,Parachurch,Reformed / Traditional
